"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Bradley Jr., Jackie","598265","2023","105","113","14","8","5","0","1","29","5","2","0","1","0"
"Solano, Donovan","456781","2023","394","450","111","79","26","1","5","100","40","15","1","0","1"
"Taylor, Michael A.","572191","2023","355","388","78","42","14","1","21","130","26","3","0","3","1"
"Newman, Kevin","621028","2023","225","253","57","38","16","0","3","34","17","4","0","2","5"
"Tauchman, Mike","643565","2023","337","401","85","59","18","0","8","86","56","4","1","1","3"
"Remillard, Zach","621545","2023","147","160","37","29","7","0","1","48","8","1","1","4","0"
"Thaiss, Matt","642136","2023","262","307","56","41","6","0","9","83","36","6","1","0","3"
"Marlowe, Cade","687799","2023","88","100","21","13","3","2","3","33","12","0","0","0","0"
"Diaz, Yainer","673237","2023","355","377","100","55","22","0","23","74","11","5","0","0","6"
"Lopez, Nicky","670032","2023","225","262","52","40","8","3","1","40","26","6","0","4","1"
"Grisham, Trent","663757","2023","469","555","93","48","31","1","13","154","75","5","0","4","1"
"Candelario, Jeimer","600869","2023","505","576","127","63","39","3","22","127","53","13","1","0","4"
"Hoerner, Nico","663538","2023","619","688","175","135","27","4","9","83","49","14","0","1","5"
"Espinal, Santiago","669289","2023","230","254","57","41","14","0","2","36","18","3","1","2","1"
"McNeil, Jeff","643446","2023","585","648","158","119","25","4","10","65","39","18","0","3","3"
"Raleigh, Cal","663728","2023","513","569","119","65","23","1","30","158","54","1","1","0","1"
"Wong, Connor","657136","2023","371","403","87","51","25","2","9","134","22","6","0","3","1"
"Carroll, Corbin","682998","2023","565","645","161","96","30","10","25","125","57","13","1","6","4"
"Monasterio, Andruw","655316","2023","282","315","73","55","14","1","3","66","28","3","0","0","2"
"Santander, Anthony","623993","2023","591","656","152","82","41","1","28","152","55","6","1","0","4"
"Smith, Will","669257","2023","464","554","121","79","21","2","19","89","63","15","2","0","12"
"Schneider, Davis","676914","2023","116","141","32","11","12","1","8","43","21","4","0","0","0"
"Swanson, Dansby","621020","2023","565","638","138","88","25","3","22","154","66","5","0","0","2"
"Stanton, Giancarlo","519317","2023","371","415","71","34","13","0","24","124","41","2","3","0","1"
"Murphy, Tom","608596","2023","145","159","42","22","12","0","8","44","10","1","0","0","2"
"Grichuk, Randal","545341","2023","434","471","116","67","31","2","16","96","29","6","2","0","2"
"Naylor, Josh","647304","2023","452","495","139","91","31","0","17","68","33","3","9","0","7"
"McCormick, Chas","676801","2023","403","457","110","69","17","2","22","117","40","11","0","1","2"
"Arozarena, Randy","668227","2023","551","654","140","95","19","3","23","156","80","18","1","0","5"
"Haniger, Mitch","571745","2023","211","229","44","24","13","1","6","65","15","2","0","0","1"
"Aranda, Jonathan","666018","2023","87","103","20","13","4","1","2","31","13","2","1","0","1"
"Sullivan, Brett","664954","2023","81","86","17","13","3","0","1","19","4","0","0","0","1"
"Peterson, Jace","607054","2023","374","430","79","59","10","4","6","101","47","4","2","2","3"
"Grandal, Yasmani","518735","2023","363","405","85","63","14","0","8","86","36","4","1","0","2"
"Arraez, Luis","650333","2023","574","617","203","160","30","3","10","34","35","4","10","1","3"
"Olson, Matt","621566","2023","608","720","172","88","27","3","54","167","104","4","8","0","4"
"Miranda, Jose","669304","2023","142","152","30","23","4","0","3","24","9","1","0","0","0"
"Bauers, Jake","641343","2023","242","272","49","22","15","0","12","95","27","0","0","0","3"
"Moreno, Gabriel","672515","2023","341","380","97","70","19","1","7","75","29","3","0","0","7"
"Marte, Ketel","606466","2023","569","650","157","97","26","9","25","109","71","5","2","0","5"
"Altuve, Jose","514888","2023","360","410","112","72","21","2","17","71","44","5","0","0","1"
"Torres, Gleyber","650402","2023","596","672","163","108","28","2","25","98","67","3","0","0","6"
"Davis, Jonathan","641505","2023","90","104","22","15","4","1","2","29","7","2","0","2","2"
